Year,Country,Population,Electricity Consumption (TWh)
2009,Germany,"81,902,307",555
2009,Russia,"142,785,384",980
2009,Brazil,"193,733,795",455
2009,Canada,"33,798,064",560
2009,France,"64,707,040",480
2009,United Kingdom,"62,262,946",365
2010,United States,"309,321,666","4,125"
2010,China,"1,337,705,000","4,210"
2010,India,"1,234,281,170",865
2010,Japan,"128,057,352","1,142"
2010,Germany,"81,776,930",589
2010,Russia,"142,849,449","1,025"
2010,Brazil,"195,713,635",501
2010,Canada,"34,126,233",590
2010,France,"64,954,163",525
2010,United Kingdom,"62,760,039",360
2011,United States,"311,556,874","4,100"
2011,China,"1,344,130,000","4,710"
2011,India,"1,250,287,935",923
2011,Japan,"127,816,000","1,080"
2011,Germany,"80,274,983",585
2011,Russia,"142,960,869","1,030"
2011,Brazil,"197,514,534",520
2011,Canada,"34,539,091",592
2011,France,"65,342,752",515
2011,United Kingdom,"63,258,918",355
2012,United States,"313,830,966","4,050"
2012,China,"1,350,695,000","4,990"
2012,India,"1,265,780,247",955
2012,Japan,"127,515,000","1,050"
2012,Germany,"80,425,823",580
2012,Russia,"143,201,673","1,040"
2012,Brazil,"199,287,296",545
2012,Canada,"34,944,987",595
2012,France,"65,659,786",510
2012,United Kingdom,"63,700,300",350
2013,United States,"315,993,715","4,060"
2013,China,"1,357,380,000","5,390"
2013,India,"1,280,842,123",990
2013,Japan,"127,298,000","1,030"
2013,Germany,"80,645,605",575
2013,Russia,"143,506,911","1,035"
2013,Brazil,"201,035,903",560
2013,Canada,"35,344,962",600
2013,France,"66,005,626",505
2013,United Kingdom,"64,128,226",345
2014,United States,"318,301,008","4,070"
2014,China,"1,364,270,000","5,600"
2014,India,"1,295,600,772","1,050"
2014,Japan,"127,094,000","1,025"
2014,Germany,"80,982,500",565
2014,Russia,"143,819,666","1,050"
2014,Brazil,"202,763,735",580
2014,Canada,"35,702,908",605
2014,France,"66,316,092",490
2014,United Kingdom,"64,602,298",340
2015,United States,"320,878,310","4,085"
2015,China,"1,371,220,000","5,810"
2015,India,"1,310,152,403","1,170"
2015,Japan,"127,094,745","1,020"
2015,Germany,"82,175,684",570
2015,Russia,"144,096,870","1,065"
2015,Brazil,"204,471,769",560
2015,Canada,"35,832,532",610
2015,France,"66,548,274",495
2015,United Kingdom,"65,116,219",330
2016,United States,"323,015,995","4,075"
2016,China,"1,378,665,000","6,015"
2016,India,"1,324,517,249","1,235"
2016,Japan,"126,933,000","1,015"
2016,Germany,"82,521,652",572
2016,Russia,"144,342,396","1,070"
2016,Brazil,"206,163,058",555
2016,Canada,"36,264,604",605
2016,France,"66,759,950",490
2016,United Kingdom,"65,595,565",325
2017,United States,"325,122,128","4,040"
2017,China,"1,386,395,000","6,430"
2017,India,"1,338,676,785","1,280"
2017,Japan,"126,706,000","1,020"
2017,Germany,"82,850,000",575
2017,Russia,"144,495,044","1,075"
2017,Brazil,"207,833,831",565
2017,Canada,"36,708,083",610
2017,France,"66,977,107",485
2017,United Kingdom,"66,058,859",320
2018,United States,"326,838,199","4,180"
2018,China,"1,392,730,000","6,950"
2018,India,"1,352,617,328","1,350"
2018,Japan,"126,529,100","1,030"
2018,Germany,"83,124,418",570
2018,Russia,"144,477,859","1,090"
2018,Brazil,"209,469,323",575
2018,Canada,"37,074,562",612
2018,France,"67,248,926",480
2018,United Kingdom,"66,460,344",315
2019,United States,"328,329,953","4,130"
2019,China,"1,400,050,000","7,325"
2019,India,"1,366,417,754","1,375"
2019,Japan,"126,264,931","1,010"
2019,Germany,"83,517,045",560
2019,Russia,"144,406,261","1,085"
2019,Brazil,"211,049,527",585
2019,Canada,"37,589,262",600
2019,France,"67,522,000",475
2019,United Kingdom,"66,836,327",312
2020,United States,"331,511,512","4,010"
2020,China,"1,411,100,000","7,624"
2020,India,"1,380,004,385","1,380"
2020,Japan,"125,836,021",990
2020,Germany,"83,783,942",535
2020,Russia,"145,178,780","1,080"
2020,Brazil,"212,559,417",570
2020,Canada,"38,005,238",595
2020,France,"67,749,632",465
2020,United Kingdom,"67,215,293",310
2021,United States,"332,031,554","4,150"
2021,China,"1,425,893,465","8,310"
2021,India,"1,407,563,842","1,480"
2021,Japan,"125,124,989","1,000"
2021,Germany,"83,900,473",550
2021,Russia,"144,713,314","1,100"
2021,Brazil,"214,326,223",590
2021,Canada,"38,246,108",600
2021,France,"67,848,156",475
2021,United Kingdom,"67,326,569",315
2022,United States,"333,287,557","4,215"
2022,China,"1,425,671,352","8,840"
2022,India,"1,417,173,173","1,515"
2022,Japan,"123,951,692","1,005"
2022,Germany,"84,079,811",545
2022,Russia,"144,444,359","1,120"
2022,Brazil,"215,313,498",610
2022,Canada,"38,929,902",615
2022,France,"68,070,697",470
2022,United Kingdom,"67,496,830",320
2023,United States,"334,805,269","4,230"
2023,China,"1,425,390,000","9,210"
2023,India,"1,428,627,663","1,590"
2023,Japan,"123,294,513","1,000"
2023,Germany,"84,270,625",540
2023,Russia,"144,210,000","1,130"
2023,Brazil,"216,422,446",625
2023,Canada,"39,292,355",620
2023,France,"68,220,000",468
2023,United Kingdom,"67,736,802",318
2024,United States,"336,225,000","4,250"
2024,China,"1,425,100,000","9,550"
2024,India,"1,441,719,852","1,670"
2024,Japan,"122,630,000",995
2024,Germany,"84,450,000",538
2024,Russia,"144,000,000","1,140"
2024,Brazil,"217,550,000",640
2024,Canada,"39,650,000",625
2024,France,"68,370,000",465
2024,United Kingdom,"67,960,000",315
2025,United States,"337,550,000","4,275"
2025,China,"1,424,800,000","9,890"
2025,India,"1,454,050,000","1,750"
2025,Japan,"121,960,000",990
2025,Germany,"84,600,000",535
2025,Russia,"143,800,000","1,150"
2025,Brazil,"218,690,000",655
2025,Canada,"40,010,000",630
2025,France,"68,510,000",462
2025,United Kingdom,"68,180,000",312
